"block","proj_id","nocturnal_hours","block_effort","diurnal_hours"
"38075B8SE","EBIRD_ATL_MD_DC",1.167,42.675,41.508
"38075G8NE","EBIRD_ATL_MD_DC",4.45,42.388,37.938
"39076F1CW","EBIRD_ATL_MD_DC",0.25,42.354,42.104
"39076A8SW","EBIRD_ATL_MD_DC",1.367,42.323,40.956
"o39077C6CE","EBIRD_ATL_MD_DC",0,41.971,41.971
"39076F4SE","EBIRD_ATL_MD_DC",0,41.754,41.754
"39077C1NE","EBIRD_ATL_MD_DC",1.167,41.704,40.537
"o39077C5CE","EBIRD_ATL_MD_DC",0,41.667,41.667
"39077E2CE","EBIRD_ATL_MD_DC",0,41.448,41.448
"39076E7NW","EBIRD_ATL_MD_DC",0.184,41.371,41.187
"39077B3NE","EBIRD_ATL_MD_DC",0,41.365,41.365
"39078E5SW","EBIRD_ATL_MD_DC",1.871,41.234,39.363
"38075H8NE","EBIRD_ATL_MD_DC",0,41.201,41.201
"38076H4NW","EBIRD_ATL_MD_DC",0,40.919,40.919
"38077D2CE","EBIRD_ATL_MD_DC",0,40.801,40.801
"38076C8NW","EBIRD_ATL_MD_DC",0.584,40.767,40.183
"39076F7CW","EBIRD_ATL_MD_DC",0,40.708,40.708
"39076D3CE","EBIRD_ATL_MD_DC",0,40.524,40.524
"39077F5CE","EBIRD_ATL_MD_DC",0,40.282,40.282
"39077D1CW","EBIRD_ATL_MD_DC",0,40.199,40.199
"39078F6SW","EBIRD_ATL_MD_DC",0.367,40.12,39.753
