atlas_block,priority,state
42079E2CW,no,New York
43075E7CE,yes,New York
44073F8CE,yes,New York
42078G2CE,yes,New York
42074H8CE,yes,New York
44074D7NE,no,New York
42079E2CE,yes,New York
44073F8CW,no,New York
42074H8CW,no,New York
42078G2CW,no,New York
42077D1CW,no,New York
41073C6CW,no,New York
42077D1CE,yes,New York
41073C6CE,yes,New York
42079D4NE,no,New York
44074C5NE,no,New York
44073H7NW,yes,New York
43074H2CW,no,New York
41072A3NW,yes,New York
44074C5NW,yes,New York
44073H7NE,no,New York
41072A3NE,no,New York
43074H2CE,yes,New York
42073C5NE,no,New York
42073C5NW,yes,New York
40073G5CW,no,New York
40073G5CE,yes,New York
43078C3CW,no,New York
41077H4NE,no,New York
43074F7NW,yes,New York
42074G8SW,no,New York
41073F6SW,no,New York
43078C3CE,yes,New York
44074A3CW,no,New York
43074F7NE,no,New York
42074G8SE,no,New York
41073F6SE,no,New York
42074A8SE,no,New York
43075H6CE,yes,New York
42078B5NW,yes,New York
43074H7NE,no,New York
43074B7CE,yes,New York
43075H6CW,no,New York
42078B5NE,no,New York
42074A8SW,no,New York
43074H7NW,yes,New York
43074B7CW,no,New York
42078C6NE,no,New York
42073B7SW,no,New York
42073B7SE,no,New York
42078H3CW,no,New York
42078H3CE,yes,New York
43074D2SE,no,New York
43074D2SW,no,New York
41077H1NW,no,New York
41077H1NW,yes,New York
43078B8NE,no,New York
41077H1NE,no,New York
43078B8NW,yes,New York
42076H1NE,no,New York
42075F3NW,yes,New York
42076H1NW,yes,New York
43078B5CW,no,New York
43078B5CE,yes,New York
42076H2CW,no,New York
43075B6SW,no,New York
42074E3NE,no,New York
42076H2CE,yes,New York
42074E3NW,yes,New York
43075B6SE,no,New York
42077A4NE,no,New York
42077F1NW,yes,New York
43074H6SE,no,New York
42075D7SW,no,New York
43074F5SE,no,New York
42076E7CE,yes,New York
42077F1NE,no,New York
42077A4NW,yes,New York
42075D7SE,no,New York
43074H6SW,no,New York
43074F5SW,no,New York
42076E7CW,no,New York
42074G2CE,yes,New York
44074H2CW,no,New York
42075A4SW,no,New York
42079A6NE,no,New York
42074G2CW,no,New York
44074H2CE,yes,New York
42075A4SE,no,New York
42079A6NW,yes,New York
43074A5NW,yes,New York
42073C6CW,no,New York
43073C6NE,no,New York
42078G2SW,no,New York
44074E7SW,no,New York
43074A5NE,no,New York
42073C6CE,yes,New York
44075A4SW,no,New York
43075H4CE,yes,New York
44073B4SW,no,New York
42077F7CE,yes,New York
42076C8CE,yes,New York
42077F7CW,no,New York
42075A3NE,no,New York
42076C8CW,no,New York
42074A5NE,no,New York
43073E7NW,yes,New York
42074A5NW,yes,New York
43073E7NE,no,New York
43073F6SE,no,New York
44074H8CE,yes,New York
43073C6NW,yes,New York
43073F6SW,no,New York
44074H8CW,no,New York
41074G7SW,no,New York
42075A3NW,yes,New York
44076A1CE,yes,New York
42078D3NW,yes,New York
